what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1301979135161
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1301979135176
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1301979135186
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1301979135196
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1301979135196
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301979135291
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1301979144641
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301979156291
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1301979156296
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301979158316
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301979214176
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301979237696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301979250161
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1301979250166
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301979253106
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301979356191
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301979372611
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1301979381876
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301979465646
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1301979465656
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1301979468251
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301979469826
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301979470676
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301979481411
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301979489786
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301979492591
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301979493291
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301979494361
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301979498706
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301979499526
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavadocView",1301979545796
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.SourceView",1301979546586
