what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981243626
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1301981243656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981266106
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981269876
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981277361
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981282741
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981302691
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981304496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981305441
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981306816
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981311916
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981312846
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1301981325971
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1301981326881
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1301981327891
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1301981328276
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1301981333811
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981352221
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981353466
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981362236
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981363286
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981364906
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981365701
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981369501
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981370346
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981389821
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981390626
executed,command,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.command.openTask",1301981390641
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.RunLast",1301981391591
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1301981393021
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301981412138
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981414938
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981416128
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981416633
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981464428
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1301981466853
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301981469043
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1301981476708
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301981478458
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301981478463
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1301981480568
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301981480568
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.closeProject",1301981485108
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.closeProject",1301981487808
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981491593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981497088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981500498
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981533418
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301981533508
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301981533543
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981535003
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981538108
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981545738
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981550908
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981554353
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981556323
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981568683
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981569453
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981578603
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981579448
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981601098
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981604613
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1301981604623
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1301981629243
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1301981632823
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1301981665908
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1301981666438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981670158
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981672563
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981677988
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981686603
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981694768
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981696283
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981697058
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981700268
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981702233
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981703903
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981706453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981708268
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981721003
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981724988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981734363
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981735838
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981738733
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981739893
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981742753
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981743948
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981748668
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981749838
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1301981751528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981756113
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981771699
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1301981783514
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301981796730
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1301981800510
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301981803856
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1301981808681
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301981820616
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301981820671
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301981825511
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301981825516
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981830001
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981927446
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981928176
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981929221
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981930436
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981932486
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1301981936796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981947206
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981950386
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981955666
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1301981970266
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301981970331
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1301981970376
